Title,Distributor,Release Date,Rating,Genre1,Genre2,Genre3,Country1,Country2,Country3,Director1,Director2,Director3,Actor1,Actor2,Actor3,"Lifetime
Gross","Preview
Gross","Opening
Day","Opening
Day
Gross","Opening
Day
Screens","Opening
Day
Theatres","Opening
Weekend
Gross","Opening
Weekend
Screens","Opening
Weekend
Theatres","Opening
Week
Gross","Opening
Week
Screens","Opening
Week
Theatres","% of
Opening
Weekend
to Week"
Vinaro Bhagyamu Vishnu Katha,Tolly Movies,18/02/2023,EX,Comedy,Drama,Romance,India,,,Murali Kishor Abburu,,,Kashmira Pardesi,Murali Sharma,Kiran Abbavaram,1593,,Saturday,818,1,1,1593,1,1,,,,
Sir,Tolly Movies,17/02/2023,M,Action,Drama,Romance,India,,,Venky Atluri,,,Tanikella Bharani,Dhanush .,Samyuktha Menon,87243,,Friday,27505,31,30,87243,33,32,,,,
Shehzada,Forum Distribution,17/02/2023,M,Action,Comedy,Drama,India,,,Rohit Dhawan,,,Paresh Rawal,Ronit Roy,Kriti Sanon,83559,,Friday,28660,59,58,83559,59,59,,,,
Enkilum Chandrike,Dream Screens International,17/02/2023,PG,Comedy,,,India,,,Adithyan Chadrashekar,,,Saiju Kurup,Tanvi Ram,Suraj Venjaramoodu,3585,,Friday,986,9,9,3585,10,10,,,,
Golgappe,Zee Studios,17/02/2023,PG,Comedy,Drama,,India,,,Smeep Kang,,,B.N. Sharma,Navneet Dhillon,Binnu Dhillon,3099,,Friday,920,5,5,3099,9,9,,,,
Bakasuran,Other,17/02/2023,EX,Action,Drama,Thriller,India,,,Mohan G.,,,Mansoor Ali Khan,Radha Ravi,Ramachandran Durairaj,186,,Friday,18,1,1,186,1,1,,,,
Ant-Man and The Wasp: Quantumania,Walt Disney,16/02/2023,M,Action,Adventure,Comedy,USA,,,Peyton Reed,,,Paul Rudd,Evangeline Lilly,Michelle Pfeiffer,7540882,1071895,Thursday,1066140,828,283,6468987,828,302,,,,
Winnie-The-Pooh: Blood and Honey,Umbrella Ent.,16/02/2023,R18+,Horror,,,UK,USA,,Rhys Frake-Waterfield,,,Chris Cornell,Richard D. Myers,Natasha Tosini,222205,63810,Thursday,26504,75,75,158396,85,85,,,,
Women Talking,Universal,16/02/2023,M,Drama,,,USA,,,Sarah Polley,,,Rooney Mara,Claire Foy,Frances McDormand,157132,,Thursday,26701,123,121,157132,128,127,,,,
We Are Still Here,Bonsai Films,16/02/2023,M,Drama,,,New Zealand,,,Richard Curtis,Beck Cole,Danielle MacLean,Tioreore Ngatai-Melbourne,Clarence Ryan,Villa Lemanu,97123,87718,Thursday,3758,10,10,9405,20,20,,,,
Close,Madman,16/02/2023,M,Drama,,,Belgium,France,Netherlands,Lukas Dhont,,,Léa Drucker,Kevin Janssens,Émilie Dequenne,76114,46150,Thursday,4329,22,22,29964,23,22,,,,
